ko;pathname;genesymbol
K06282;Nitrotoluene;hyaA
K06446;Caprolactam;DCAA
K06912;Cl. cyclohexane and Cl. benzene;tfdA
K06912;Aromatic;tfdA
K07104;Benzoate;catE
K07104;Xylene;catE
K07104;Aromatic;catE
K07104;Styrene;catE
K07104;Cl. cyclohexane and Cl. benzene;catE
K07408;Cytochrome P450;CYP1A1
K07409;Cytochrome P450;CYP1A2
K07410;Cytochrome P450;CYP1B1
K07415;Cytochrome P450;CYP2E1
K07416;Cytochrome P450;CYP2F
K07420;Cytochrome P450;CYP2S1
K07511;Aminobenzoate;ECHS1
K07511;Caprolactam;ECHS1
K07514;Aminobenzoate;EHHADH
K07514;Caprolactam;EHHADH
K07515;Aminobenzoate;HADHA
K07515;Caprolactam;HADHA
K07516;Benzoate;fadN
K07534;Benzoate;badK
K07534;Aromatic;badK
K07535;Benzoate;badH
K07535;Aromatic;badH
K07536;Benzoate;badI
K07536;Aromatic;badI
K07537;Benzoate;dch
K07537;Aromatic;dch
K07538;Benzoate;had
K07538;Aromatic;had
K07539;Benzoate;oah
K07539;Aromatic;oah
K07540;Aromatic;E4.1.99.11
K07540;Toluene;E4.1.99.11
K07543;Toluene;bbsE
K07543;Aromatic;bbsE
K07544;Toluene;bbsF
K07544;Aromatic;bbsF
K07545;Aromatic;bbsG
K07545;Toluene;bbsG
K07546;Toluene;bbsH
K07546;Aromatic;bbsH
K07547;Toluene;bbsC
K07547;Aromatic;bbsC
K07548;Toluene;bbsD
K07548;Aromatic;bbsD
K07549;Toluene;bbsA
K07549;Aromatic;bbsA
K07550;Toluene;bbsB
K07550;Aromatic;bbsB
K07823;Benzoate;pcaF
K07824;Aromatic;CYP53A1
K07824;Benzoate;CYP53A1
K07824;Aminobenzoate;CYP53A1
K08295;Aminobenzoate;abmG
K08686;Fluorobenzoate;cbdA
K08686;Aromatic;cbdA
K08689;Dioxin;bphAa
K08689;Aromatic;bphAa
K08690;Aromatic;bphB
K08690;Dioxin;bphB
K08710;Atrazine;atzC
K08726;Cl. alkane and Cl.alkene;EPHX2
K09461;Aminobenzoate;E1.14.13.40
K10215;Aminobenzoate;ethA
K10216;Benzoate;dmpD
K10216;Styrene;dmpD
K10216;Xylene;dmpD
K10216;Aromatic;dmpD
K10217;Aromatic;dmpC
K10217;Benzoate;dmpC
K10217;Xylene;dmpC
K10218;Benzoate;ligK
K10219;Aromatic;ligC
K10219;Aminobenzoate;ligC
K10219;Benzoate;ligC
K10220;Benzoate;ligJ
K10221;Aminobenzoate;ligI
K10221;Benzoate;ligI
K10222;Dioxin;bphD
K10222;Aromatic;bphD
K10437;Styrene;PHAA
K10438;Styrene;PHACB
K10566;Styrene;oxdB
K10616;Aromatic;cymAa
K10616;Xylene;cymAa
K10617;Xylene;cymB
K10617;Aromatic;cymB
K10618;Xylene;cymC
K10618;Aromatic;cymC
K10619;Xylene;cmtAb
K10619;Aromatic;cmtAb
K10620;Aromatic;cmtB
K10620;Xylene;cmtB
K10621;Benzoate;cmtC
K10621;Xylene;cmtC
K10621;Aromatic;cmtC
K10622;Benzoate;cmtD
K10622;Aromatic;cmtD
K10622;Xylene;cmtD
K10623;Xylene;cmtE
K10623;Aromatic;cmtE
K10676;Aromatic;tfdB
K10676;Cl. cyclohexane and Cl. benzene;tfdB
K10678;Nitrotoluene;nfsA
K10679;Nitrotoluene;nfnB
K10680;Nitrotoluene;nemA
K10700;Ethylbenzene;ebdA
K10700;Aromatic;ebdA
K10701;Aromatic;apc
K10701;Ethylbenzene;apc
K10702;Xylene;todF
K10702;Aromatic;todF
K11180;Nitrotoluene;dsrA
K11181;Nitrotoluene;dsrB
K11311;Aminobenzoate;antC
K11822;Cytochrome P450;SULT2A
K11943;Aromatic;nidA
K11943;PAH;nidA
K11944;PAH;nidB
K11944;Aromatic;nidB
K11945;Aromatic;phdF
K11945;PAH;phdF
